V1,V2,V3
TCF3,ELK3,1
CREM,TAF4,1
ZBTB17,MYC,1
ZBTB17,MAX,1
ESR1,ESR2,1
TRERF1,NR5A1,1
SMAD2,MEF2A,1
NFYC,MYC,1
CEBPB,NR3C1,1
CEBPB,RARB,1
RUNX2,SMAD1,1
SP1,MYC,1
MEF2C,TEAD1,1
SP1,POU2F1,1
ESR1,STAT3,1
SRF,NFYA,1
RARA,TADA3,1
RXRA,TADA3,1
STAT1,HSF1,1
MSX1,LHX2,1
SMAD3,MAX,1
SMAD4,MAX,1
YY1,MYC,1
HDAC1,NR2F2,1
SPEN,HDAC1,1
DDIT3,ATF3,1
E2F1,SP4,1
ETS2,FOS,1
ETS2,ETS1,1
MAFF,NFE2L2,1
JUN,HIF1A,1
RARA,NCOR1,1
SP1,RELA,1
BCL3,RXRA,1
PAX3,MSX1,1
NR1H4,RXRA,1
RXRA,NR1H2,1
MSX1,DLX2,1
SP1,KLF4,1
REXO4,ESR2,1
NFYB,MYC,1
SP1,NFKB1,1
SP1,NFKB2,1
TP53,TFDP1,1
RB1,E4F1,1
SMAD2,NFYC,1
STAT1,IRF1,1
HMGB2,POU2F2,1
ESR1,CEBPB,1
SP1,KLF10,1
SP1,ELF1,1
ASCL1,TCF4,1
ZNF148,TP53,1
MITF,FOS,1
NFE2L3,MAFK,1
HR,THRA,1
NR3C1,NFKB1,1
MXD1,SIN3A,1
POU5F1,HMGB2,1
SRF,NKX3-1,1
FOXG1,FOXH1,1
SMAD2,FOXH1,1
MEF2A,ASCL1,1
NR3C1,RELA,1
NKX2-5,GATA4,1
SP1,SMAD3,1
IRF4,NFATC2,1
SP1,MEF2D,1
MYB,PAX5,1
HEY2,HDAC1,1
CEBPB,CEBPG,1
IRF9,STAT1,1
ZNF174,ZNF24,1
ZKSCAN8,ZNF165,1
ZKSCAN8,ZNF24,1
ZNF165,ZNF24,1
ID1,TCF4,1
ID1,TCF3,1
ID3,PAX5,1
JUN,STAT4,1
PPARG,CREBBP,1
SP1,TAF4,1
NR3C1,STAT5B,1
CEBPB,RB1,1
CBL,VAV1,1
TP53,ATF3,1
RUNX2,FOS,1
RUNX1,FOS,1
POU2F1,VDR,1
AHR,RELA,1
NCOR1,NR1D1,1
NCOR1,NR1D2,1
JUN,STAT1,1
JUN,STAT3,1
TAF5,TAF6,1
TAF5,TAF12,1
ATF6,YY1,1
JUN,NFE2L1,1
JUN,NFE2L2,1
NFATC1,EGR1,1
NFATC1,EGR2,1
RB1,HMGB1,1
NR3C1,HMGB2,1
HMGB1,TP73,1
NFIB,NFIC,1
NFIB,NFIX,1
STAT6,NFKB1,1
CEBPB,NFKB1,1
E2F1,NFKB1,1
POU2F1,RELA,1
MYC,RELA,1
TAF4B,RELA,1
SNAPC4,SNAPC2,1
SNAPC4,POU2F1,1
JUN,ETS1,1
IRF8,IRF1,1
XBP1,FOS,1
MZF1,SCAND1,1
JUN,RB1,1
JUN,NR5A1,1
SMAD3,JUNB,1
SMAD4,JUNB,1
SMAD3,JUND,1
IRF4,SPI1,1
PAX3,MEOX1,1
E2F1,TFDP1,1
RXRA,NR2F6,1
SRF,GTF2I,1
RXRA,NR1H3,1
IRF7,IRF3,1
PAX6,RB1,1
SMAD4,SMAD5,1
SMAD4,SMAD1,1
SMAD3,RUNX3,1
SMAD2,RUNX3,1
SMAD5,RUNX3,1
ELK4,SRF,1
MXD1,HDAC1,1
MXD1,HDAC2,1
MEF2A,MEF2D,1
SMAD7,SMAD3,1
SMAD2,SMAD3,1
SMAD2,SMAD7,1
SMAD4,SMAD7,1
RB1,E2F2,1
RB1,AHR,1
RB1,ARNT,1
RARA,SP1,1
PPARG,RXRA,1
JUN,BCL6,1
BCL6,JUND,1
BCL6,JUNB,1
RXRA,NPAS2,1
RXRA,CLOCK,1
RARA,NPAS2,1
RARA,CLOCK,1
ARNTL,NPAS2,1
ARNTL,CLOCK,1
RARA,RXRA,1
STAT3,NFKB1,1
STAT3,RELA,1
STAT2,STAT1,1
SP1,NR5A1,1
ARNTL,AHR,1
ARNT,EPAS1,1
SRF,ATF6,1
RXRA,VDR,1
E2F1,TFDP2,1
RB1,TFDP1,1
RB1,TFDP2,1
NCOR1,VDR,1
RUNX1,VDR,1
NFYB,TP73,1
NFYC,TP73,1
SP1,E2F1,1
GABPA,SP1,1
SMAD4,CEBPD,1
CEBPD,SMAD3,1
SRF,CEBPB,1
NR2F6,NR3C1,1
ESR1,FOXO1,1
ESR1,SMAD2,1
PURA,E2F1,1
MYC,TP73,1
TP53,TAF1B,1
WT1,TP53,1
PTTG1,TP53,1
GTF2I,USF1,1
CEBPB,CEBPD,1
NR3C1,SMAD3,1
SIX3,NR4A3,1
FLI1,ETV6,1
KLF1,FLI1,1
RFXANK,RFX5,1
PAX6,MITF,1
MITF,TFEC,1
MNT,MAX,1
SIN3A,MNT,1
MAX,MYCL,1
TRIM28,CEBPB,1
TRIM28,NR3C1,1
NR3C2,NR3C1,1
SMAD2,LEF1,1
CEBPB,RUNX1,1
ARNTL,EPAS1,1
ARNTL,HIF1A,1
RUNX1,CBFA2T2,1
GABPA,ATF1,1
HMGA1,ATF2,1
HMGA1,IRF1,1
IRF8,IRF2,1
SNAPC4,SNAPC5,1
RBPJ,NOTCH1,1
MNT,MLX,1
MXD1,MLX,1
SMAD6,SMAD7,1
SMAD2,SMAD6,1
SMAD4,SMAD6,1
ATF4,ATF3,1
HIF1A,STAT3,1
FBXW7,MYB,1
JDP2,ATF7,1
JDP2,JUND,1
BCL6,HDAC1,1
JDP2,ATF2,1
NR4A1,HIF1A,1
E2F4,TFDP2,1
FBXW7,NOTCH1,1
FBXW7,MYC,1
PRDM1,HDAC2,1
HIF1A,MTA1,1
HIF1A,HDAC1,1
REST,NCOR1,1
REST,HDAC2,1
KAT7,TP53,1
BACH2,BCL6,1
IRF8,ETV6,1
TAF10,TAF4,1
TAF13,TAF4,1
TAF13,TAF5,1
TAF13,TAF6,1
PRDM1,KDM1A,1
HDAC1,PRDM1,1
FOS,JUND,1
NR4A1,TP53,1
TP53,HDAC2,1
FOXP1,GATAD2B,1
FOXP2,GATAD2B,1
TP53,TAF6,1
TAF6,TAF12,1
KDM5B,NR4A3,1
KDM5B,ONECUT2,1
TRIM25,PITX2,1
PAX3,TRIM28,1
TP53,BRD8,1
ID1,GATA4,1
ID3,GATA4,1
ID1,NKX2-5,1
ID3,NKX2-5,1
NR4A1,MTA2,1
TRIM28,NR4A1,1
TRIM28,NR4A3,1
